source, num, place, sentence_number, sentence
fifth rock-edict, 5, kalsi, 5, therefore (among) my sons and grandsons. and (among) my descendants (who shall come) after them until the æon (of destruction of the world). those who will conform to this (duty) will perform good deeds.
fifth rock-edict, 5, kalsi, 6, but he who will neglect even a portion of this (duty) will perform evil deeds.
fifth rock-edict, 5, kalsi, 7, for sin indeed steps fast.
fifth rock-edict, 5, kalsi, 8, now. in times past (officers) called mahāmātras of morality did not exist before.
fifth rock-edict, 5, kalsi, 9, mahāmātras of morality were appointed by me (when i had been) anointed thirteen years.
fifth rock-edict, 5, kalsi, 10, these are occupied with all sects in establishing morality. in promoting morality. arid for the welfare and happiness of those who are devoted to morality (even) among the yonas. kambojas. and gandhālas. and whatever other western borderers (of mine there are).
fifth rock-edict, 5, kalsi, 11, they are occupied with servants and masters. with brāhmaṇas and ibhyas. with the destitute. (and) with the aged. for the welfare and happiness of those who are devoted to morality. (and) in releasing (them) from the fetters (of worldly life).
fifth rock-edict, 5, kalsi, 12, they are occupied in supporting prisoners (with money). in causing (their) fetters to be taken off. and in setting (them) free. if one has children. or is bewitched. or aged. respectively.
fifth rock-edict, 5, kalsi, 13, they are occupied everywhere. here and in all the outlying towns. in the harems of our brothers. of (our) sisters. and (of) whatever other relatives (of ours there are).
fifth rock-edict, 5, kalsi, 14, these mahāmātras of morality are occupied everywhere in my dominions with those who are devoted to morality. (in order to ascertain) whether one is eager for morality or properly devoted to charity.
fifth rock-edict, 5, kalsi, 15, for the following purpose has this rescript on morality been caused to be written. (viz. that) it may be of long duration. and (that) my descendants may conform to it.
fifth rock-edict, 5, girnar, 1, king devānāṁpriya priyadarśin speaks thus.
fifth rock-edict, 5, girnar, 2, it is difficult to perform virtuous deeds.
fifth rock-edict, 5, girnar, 3, he who starts performing virtuous deeds accomplishes something difficult.
fifth rock-edict, 5, girnar, 4, now. by me many virtuous deeds have been performed.
fifth rock-edict, 5, girnar, 5, therefore (among) my sons and grandsons. and (among) my descendants (who shall come) after them until the æon of destruction (of the world). those who will conform to this (duty) will perform good deeds.
fifth rock-edict, 5, girnar, 6, but he who will neglect even a portion of this (duty) will perform evil deeds.
fifth rock-edict, 5, girnar, 7, for sin is easily committed.
fifth rock-edict, 5, girnar, 8, in times past (officers) called mahāmātras of morality (dharma-mahāmātra) did not exist before.
fifth rock-edict, 5, girnar, 9, but mahāmātras of morality were appointed by me (when i had been) anointed thirteen years.
fifth rock-edict, 5, girnar, 10, these are occupied with all sects in establishing morality ……… of those who are devoted to morality (even) among the yoṇas. kambojas. and gandhāras. the risṭikas and peteṇikas. and whatever other western borderers (of mine there are).
fifth rock-edict, 5, girnar, 11, they are occupied with servants and masters ……… for the ……… happiness of those who are devoted to morality. (and) in freeing (them) from desire (for worldly life).
fifth rock-edict, 5, girnar, 12, they are occupied in supporting prisoners 6 (with money) ……… (if one has) children. or with those who are bewitched (i.e. incurably ill ?) or with the aged.
fifth rock-edict, 5, girnar, 13, they are occupied everywhere. both in pāṭaliputra and in the outlying ……… and whatever other relatives of mine (there are).
fifth rock-edict, 5, girnar, 14, these mahāmātras of morality ……… whether one is eager for morality ………
fifth rock-edict, 5, girnar, 15, for the following purpose has this rescript on morality been written ………
fifth rock-edict, 5, girnar, 1, king devānāṁpriya priyadarśin speaks thus.
fifth rock-edict, 5, girnar, 2, it is difficult to perform virtuous deeds.
fifth rock-edict, 5, girnar, 3, he who starts performing virtuous deeds accomplishes something difficult.
fifth rock-edict, 5, girnar, 4, now. by me many virtuous deeds have been performed.
fifth rock-edict, 5, girnar, 5, therefore (among) my sons and grandsons. and (among) my descendants (who shall come) after them until the æon of destruction (of the world). those who will conform to this (duty) will perform good deeds.
fifth rock-edict, 5, girnar, 6, but he who will neglect even a portion of this (duty) will perform evil deeds.
fifth rock-edict, 5, girnar, 7, for sin is easily committed.
fifth rock-edict, 5, girnar, 8, in times past (officers) called mahāmātras of morality (dharma-mahāmātra) did not exist before.
fifth rock-edict, 5, girnar, 9, but mahāmātras of morality were appointed by me (when i had been) anointed thirteen years.
fifth rock-edict, 5, girnar, 10, these are occupied with all sects in establishing morality ……… of those who are devoted to morality (even) among the yoṇas. kambojas. and gandhāras. the risṭikas and peteṇikas. and whatever other western borderers (of mine there are).
fifth rock-edict, 5, girnar, 11, they are occupied with servants and masters ……… for the ……… happiness of those who are devoted to morality. (and) in freeing (them) from desire (for worldly life).
fifth rock-edict, 5, girnar, 12, they are occupied in supporting prisoners 6 (with money) ……… (if one has) children. or with those who are bewitched (i.e. incurably ill ?) or with the aged.
fifth rock-edict, 5, girnar, 13, they are occupied everywhere. both in pāṭaliputra and in the outlying ……… and whatever other relatives of mine (there are).
fifth rock-edict, 5, girnar, 14, these mahāmātras of morality ……… whether one is eager for morality ………
fifth rock-edict, 5, girnar, 15, for the following purpose has this rescript on morality been written ………
seventh rock-edict, 7, kalsi, 1, king devānāṁpriya priyadarśin desires (that) all sects may reside everywhere.
seventh rock-edict, 7, kalsi, 2, for all these desire self-control and purity of mind.
seventh rock-edict, 7, kalsi, 3, but men possess various desires (and) various passions.
seventh rock-edict, 7, kalsi, 4, they will fulfil (either) the whole (or) only a portion (of their duties).
seventh rock-edict, 7, kalsi, 5, but even one who (practises) great liberality. (but) does not possess self-control. purity of mind. gratitude. and firm devotion. is very mean.
seventh rock-edict, 7, girnar, 1, king devānāṁpriya priyadarśin desires (that) all sects may reside everywhere.
seventh rock-edict, 7, girnar, 2, (for) all these desire both self-control and purity of mind.
seventh rock-edict, 7, girnar, 3, but men possess various desires (and) various passions.
seventh rock-edict, 7, girnar, 4, either they will fulfil the whole. or they will fulfil (only) a portion (of their duties).
seventh rock-edict, 7, girnar, 5, but even one who (practises) great liberality. (but) does not possess self-control. purity of mind. gratitude. and firm devotion. is very mean.
seventh rock-edict, 7, girnar, 1, king devānāṁpriya priyadarśin desires (that) all sects may reside everywhere.
seventh rock-edict, 7, girnar, 2, (for) all these desire both self-control and purity of mind.
seventh rock-edict, 7, girnar, 3, but men possess various desires (and) various passions.
seventh rock-edict, 7, girnar, 4, either they will fulfil the whole. or they will fulfil (only) a portion (of their duties).
seventh rock-edict, 7, girnar, 5, but even one who (practises) great liberality. (but) does not possess self-control. purity of mind. gratitude. and firm devotion. is very mean.
ninth rock-edict, 9, girnar, 1, king devānāṁpriya priyadarśin speaks thus.
ninth rock-edict, 9, girnar, 2, men are practising various ceremonies during illness. or at the marriage of a son or a daughter. or at the birth of a son. or when setting out on a journey. on these and other (occasions) men are practising various ceremonies.
ninth rock-edict, 9, girnar, 3, but in such (cases) women are practising many and various vulgar and useless ceremonies.
ninth rock-edict, 9, girnar, 4, now. ceremonies should certainly be practised.
ninth rock-edict, 9, girnar, 5, but ceremonies like these bear little fruit indeed.
ninth rock-edict, 9, girnar, 6, but the following practice bears much fruit. viz. the practice of morality.
ninth rock-edict, 9, girnar, 7, herein the following (are comprised). (viz.) proper courtesy to slaves and servants. reverence to elders. gentleness to animals. (and) liberality to brāhmaṇas and śramaṇas. these and other such (virtues) are called the practice of morality.
ninth rock-edict, 9, girnar, 8, therefore a father. or a son. or a brother. or a master ought to say:- ‘this is meritorious. this practice should be observed until the (desired) object is attained.’
ninth rock-edict, 9, girnar, 9, and it has been said also: ‘gifts are meritorious.’
ninth rock-edict, 9, girnar, 10, but there is no such gift or benefit as the gift of morality or the benefit of morality.
ninth rock-edict, 9, girnar, 11, therefore a friend. or a well-wisher. or a relative. or a companion should indeed admonish (another) on such and such an occasion: – ‘this ought to be done. this is meritorious. by this (practice) it is possible to attain heaven.’
ninth rock-edict, 9, girnar, 12, and what is more desirable than this. viz. the attainment of heaven?
ninth rock-edict, 9, girnar, 1, king devānāṁpriya priyadarśin speaks thus.
ninth rock-edict, 9, girnar, 2, men are practising various ceremonies during illness. or at the marriage of a son or a daughter. or at the birth of a son. or when setting out on a journey. on these and other (occasions) men are practising various ceremonies.
ninth rock-edict, 9, girnar, 3, but in such (cases) women are practising many and various vulgar and useless ceremonies.
ninth rock-edict, 9, girnar, 4, now. ceremonies should certainly be practised.
ninth rock-edict, 9, girnar, 5, but ceremonies like these bear little fruit indeed.
ninth rock-edict, 9, girnar, 6, but the following practice bears much fruit. viz. the practice of morality.
ninth rock-edict, 9, girnar, 7, herein the following (are comprised). (viz.) proper courtesy to slaves and servants. reverence to elders/ gentleness to animals. (and) liberality to brāhmaṇas and śramaṇas. these and other such (virtues) are called the practice of morality.
ninth rock-edict, 9, girnar, 8, therefore a father. or a son. or a brother. or a master ought to say:-' this is meritorious. this practice should be observed until the (desired) object is attained.'
ninth rock-edict, 9, girnar, 9, and it has been said also: ‘gifts are meritorious.’
ninth rock-edict, 9, girnar, 10, but there is no such gift or benefit as the gift of morality or the benefit of morality.
ninth rock-edict, 9, girnar, 11, therefore a friend. or a well-wisher. or a relative. or a companion should indeed admonish (another) on such and such an occasion: – ‘this ought to be done. this is meritorious. by this (practice) it is possible to attain heaven.’
ninth rock-edict, 9, girnar, 12, and what is more desirable than this. viz. the attainment of heaven?  ...  ...
thirteenth rock-edict, 13, girnar, 1, .......... the kaliṅgas ..........
thirteenth rock-edict, 13, girnar, 2, . . . . . . . . . . one hundred thousand in number were those who were slain there. (and) many times as many those who died.
thirteenth rock-edict, 13, girnar, 3, after that. now that (the country of) the kaliṅgas has been taken. a zealous study of morality ..........
thirteenth rock-edict, 13, girnar, 4, .......... [the repentance] of devānaṁpriya ..........
thirteenth rock-edict, 13, girnar, 5, .......... slaughter. death. and deportation of people. this is considered very painful and deplorable by devānaṁpriya.
thirteenth rock-edict, 13, girnar, 6, ..........
thirteenth rock-edict, 13, girnar, 7, .......... brāhmaṇas or śramaṇas. [or] other .......... obedience to mother (and) to father. obedience to elders .......... to friends. acquaintances. companions. and relatives. [to] slaves .......... or deportation of (their) beloved ones.
thirteenth rock-edict, 13, girnar, 8, .......... [companions] and relatives are then incurring misfortune. this (misfortune) as well becomes an injury to those (persons).
thirteenth rock-edict, 13, girnar, 9, this is shared (by] all ..........
thirteenth rock-edict, 13, girnar, 10, .......... these classes .......... except among the yoṇas .......... where men are not indeed attached to some sect.
thirteenth rock-edict, 13, girnar, 11, as many people as at that time .......... part is considered deplorable by devānāṁ[priya].
thirteenth rock-edict, 13, girnar, 12, .......... what can be forgiven.
thirteenth rock-edict, 13, girnar, 13, and even the forests which are (included) in the dominions of devānāṁpriya ..........
thirteenth rock-edict, 13, girnar, 14, they are [told] .......... of devānāṁpriya ..........
thirteenth rock-edict, 13, girnar, 15, .......... towards all beings abstention from hurting. self-control. impartiality. and kindness.
thirteenth rock-edict, 13, girnar, 16, .......... has been won by [deva]nāṁpriya here and among all .......... the yona king. and beyond him four kings. (viz.) turamāya. antekina. magā ..........
thirteenth rock-edict, 13, girnar, 17, .......... here in the king's territory. [among] the yonas and kambo[jas] .......... among the [a]ndhras and pārindas.–everywhere (people) are conforming to devānāṁpriya’s instruction in morality.
thirteenth rock-edict, 13, girnar, 18, even where the envoys .......... and the instruction in morality. are conforming to morality ..........
thirteenth rock-edict, 13, girnar, 19, .......... this conquest.–a conquest (won) in every respect (and) repeatedly.–causes the feeling of satisfaction.
thirteenth rock-edict, 13, girnar, 20, this satisfaction has been obtained (by me) at the conquest by morality.
thirteenth rock-edict, 13, girnar, 21, .......... [devānā]ṁpriya.
thirteenth rock-edict, 13, girnar, 22, for the following purpose this [rescript] on morality .......... should not think that a [fresh] conquest ought to be made. (that). if a conquest does please them. mercy ..........
thirteenth rock-edict, 13, girnar, 23, .......... in the other world.
thirteenth rock-edict, 13, girnar, 24, .......... both in this world and in the other world.
thirteenth rock-edict, 13, kalsi, 1, when king devānāṁpriya priyadarśin had been anointed eight years. (the country of) the kaliligyas was conquered by (him).
thirteenth rock-edict, 13, kalsi, 2, one hundred and fifty thousand in number were the men who were deported thence. one hundred thousand in number were those who were slain there. and many times as many those who died.
thirteenth rock-edict, 13, kalsi, 3, after that. now that (the country of) the kaliṅgyas has been taken. devānaṁpriya (is devoted) to a zealous study of morality. to the love of morality. and to the instruction (of people) in morality.
thirteenth rock-edict, 13, kalsi, 4, this is the repentance of devānāṁpriya on account of his conquest of (the country of) the kaliṅgyas.
thirteenth rock-edict, 13, kalsi, 5, for. this is considered very painful and deplorable by devānāṁpriya. that. while one is conquering an unconquered (country). slaughter. death. and deportation of people (are taking place) there.
thirteenth rock-edict, 13, kalsi, 6, but the following is considered even more deplorable than this by devānāṁpriya.
thirteenth rock-edict, 13, kalsi, 7, (to) the brāhmaṇas or śramaṇas. or other sects or householders. who are living there. (and) among whom the following are practised: obedience to those who receive high pay. obedience to mother and father. obedience to elders. proper courtesy to friends. acquaintances. companions. and relatives. to slaves and servants. (and) firm devotion.–to these then happen injury or slaughter or deportation of (their) beloved ones.
thirteenth rock-edict, 13, kalsi, 8, or if there are then incurring misfortune the friends. acquaintances. companions. and relatives of those whose affection (for the latter) is undiminished. although they are (themselves) well provided for. this (misfortune) as well becomes an injury to those (persons) themselves.
thirteenth rock-edict, 13, kalsi, 9, this is shared by all men and is considered deplorable by devānāṁpriya.
thirteenth rock-edict, 13, kalsi, 10, there is no country where these (two) classes. (viz.) the brāhmaṇas and the śramaṇas. do not exist. except among the yonas. and there is no (place) in any country where men are not indeed attached to some sect.
thirteenth rock-edict, 13, kalsi, 11, therefore even the hundredth part or the thousandth part of all those people who were slain. who died. and who were deported at that time when (the country of) the kaliṅgas was taken. (would) now be considered very deplorable by devānāṁpriya.  ...
thirteenth rock-edict, 13, kalsi, 12, .......... desires towards all beings .......... self-control. impartiality. (and) kindness.
thirteenth rock-edict, 13, kalsi, 13, but this .......... by devānāṁpriya. viz. the conquest by morality.
thirteenth rock-edict, 13, kalsi, 14, and this (conquest) has been won repeatedly by devānāṁpriya both [here] and among all (his) borderers. even as far as at (the distance of) six hundred yojanas. where the yona king named antiyoga (is ruling). and beyond this antiyoga. (where) four–4–kings (are ruling). (viz. the king) named tulamaya. (the king) named antekina. (the king) named makā. (and the king) named alikyashudala. (and) likewise towards the south. (where) the choḍas and pāṇḍyas (are ruling). as far as tāmraparṇī.
thirteenth rock-edict, 13, kalsi, 15, likewise here in the king's territory. among the yonas and kambojas. among the nābhakas and nābhapaṅktis. among the bhojas and pitinikyas. among the andhras and pāladas.–everywhere (people) are conforming to devānāṁpriya's instruction in morality.
thirteenth rock-edict, 13, kalsi, 16, even those to whom the envoys of devānāṁpriya do not go. having heard of the duties of morality. the ordinances. (and) the instruction in morality of devānāṁpriya. are conforming to morality and will conform to (it).
thirteenth rock-edict, 13, kalsi, 17, this conquest. which has been won by this everywhere. causes the feeling of satisfaction.
thirteenth rock-edict, 13, kalsi, 18, firm becomes this satisfaction. (viz.) the satisfaction at the conquest by morality.
thirteenth rock-edict, 13, kalsi, 19, but this satisfaction is indeed of little (consequence).
thirteenth rock-edict, 13, kalsi, 20, devānāṁpriya thinks that only the fruits in the other (world) are of great (value).
thirteenth rock-edict, 13, kalsi, 21, and for the following purpose has this rescript on morality been written. (viz.) in order that the sons (and) great-grandsons (who) may be (born) to me. should not think that a fresh conquest ought to be made. (that). if a conquest does please them. they should take pleasures in mercy and light punishments. and (that) they should regard the conquest by morality as the only (true) conquest.
thirteenth rock-edict, 13, kalsi, 22, this (conquest bears fruit) in this world (and) in the other world.
thirteenth rock-edict, 13, kalsi, 23, and let all (their) pleasure be the pleasure in exertion.
thirteenth rock-edict, 13, kalsi, 24, for this (bears fruit) in this world (and) in the other world.
thirteenth rock-edict, 13, girnar, 1, .......... the kaliṅgas ..........
thirteenth rock-edict, 13, girnar, 2, . . . . . . . . . . one hundred thousand in number were those who were slain there. (and) many times as many those who died.
thirteenth rock-edict, 13, girnar, 3, after that. now that (the country of) the kaliṅgas has been taken. a zealous study of morality ..........
thirteenth rock-edict, 13, girnar, 4, .......... [the repentance] of devānaṁpriya ..........
thirteenth rock-edict, 13, girnar, 5, .......... slaughter. death. and deportation of people. this is considered very painful and deplorable by devānaṁpriya.
thirteenth rock-edict, 13, girnar, 6, ..........
thirteenth rock-edict, 13, girnar, 7, .......... brāhmaṇas or śramaṇas. [or] other .......... obedience to mother (and) to father. obedience to elders .......... to friends. acquaintances. companions. and relatives. [to] slaves .......... or deportation of (their) beloved ones.
thirteenth rock-edict, 13, girnar, 8, .......... [companions] and relatives are then incurring misfortune. this (misfortune) as well becomes an injury to those (persons).
thirteenth rock-edict, 13, girnar, 9, this is shared (by] all ..........
thirteenth rock-edict, 13, girnar, 10, .......... these classes .......... except among the yoṇas .......... where men are not indeed attached to some sect.
thirteenth rock-edict, 13, girnar, 11, as many people as at that time .......... part is considered deplorable by devānāṁ[priya].
thirteenth rock-edict, 13, girnar, 12, .......... what can be forgiven.
thirteenth rock-edict, 13, girnar, 13, and even the forests which are (included) in the dominions of devānāṁpriya ..........
thirteenth rock-edict, 13, girnar, 14, they are [told] .......... of devānāṁpriya ..........
thirteenth rock-edict, 13, girnar, 15, .......... towards all beings abstention from hurting. self-control. impartiality. and kindness.
thirteenth rock-edict, 13, girnar, 16, ...
thirteenth rock-edict, 13, girnar, 17, .......... has been won by [deva]nāṁpriya here and among all .......... the yona king. and beyond him four kings. (viz.) turamāya. antekina. magā ..........
thirteenth rock-edict, 13, girnar, 18, .......... here in the king's territory. [among] the yonas and kambo[jas] .......... among the [a]ndhras and pārindas.–everywhere (people) are conforming to devānāṁpriya’s instruction in morality.
thirteenth rock-edict, 13, girnar, 19, even where the envoys .......... and the instruction in morality. are conforming to morality ..........
thirteenth rock-edict, 13, girnar, 20, .......... this conquest.–a conquest (won) in every respect (and) repeatedly.–causes the feeling of satisfaction.
thirteenth rock-edict, 13, girnar, 21, this satisfaction has been obtained (by me) at the conquest by morality.
thirteenth rock-edict, 13, girnar, 22, ...
thirteenth rock-edict, 13, girnar, 23, .......... [devānā]ṁpriya.
thirteenth rock-edict, 13, girnar, 24, for the following purpose this [rescript] on morality .......... should not think that a [fresh] conquest ought to be made. (that). if a conquest does please them. mercy ..........
thirteenth rock-edict, 13, girnar, 25, .......... in the other world.
thirteenth rock-edict, 13, girnar, 26, ...
thirteenth rock-edict, 13, girnar, 27, .......... both in this world and in the other world.
first pillar-edict, 99, delhi-topra, 1, king devānāṃpriya priyadarśin speaks thus.
first pillar-edict, 99, delhi-topra, 2, this rescript on morality was caused to be written by me (when i had been) anointed twenty-six years.
first pillar-edict, 99, delhi-topra, 3, (happiness) in this (world) and in the other (world) is difficult to secure without great love of morality. careful examination. great obedience. great fear (of sin). (and) great energy.
first pillar-edict, 99, delhi-topra, 4, but indeed by my instruction this regard for morality and love of morality have been promoted day by day and will progress still (more).
first pillar-edict, 99, delhi-topra, 5, and my agents also. both the high ones and the low ones. and those of middle rank. are conforming to and practising (morality). (and are thus) able to stir up fickle (persons).
first pillar-edict, 99, delhi-topra, 6, in the same way the mahāmātras of the borderers also (are acting).
first pillar-edict, 99, delhi-topra, 7, for (their) instruction (is) this. viz. to protect according to morality. to dispose according to morality. to cause pleasure according to morality. (and) to guard (their speech) according to morality.
first separate rock-edict, 99, dhauli, 1, at the word of devānāṁpriya. the mahāmātras at tosali. (who are) the judicial officers of the city. have to be told (thus).
first separate rock-edict, 99, dhauli, 2, whatever i recognize (to be right). that i strive to carry out by deeds. and to accomplish by (various) means.
first separate rock-edict, 99, dhauli, 3, and this is considered by me the principal means for this object. viz. (to give) instruction to you.
first separate rock-edict, 99, dhauli, 4, for you are occupied with many thousands of men. with the object of gaining the affection of men.
first separate rock-edict, 99, dhauli, 5, all men are my children.
first separate rock-edict, 99, dhauli, 6, as on behalf of (my own) children i desire that they may be provided with complete welfare and happiness in this world and in the other world. the same i desire also on behalf of [all]men.
first separate rock-edict, 99, dhauli, 7, and you do not learn how far this (my) object reaches.
first separate rock-edict, 99, dhauli, 8, some single person only learns this. (and) even he (only) a portion. (but) not the whole.
first separate rock-edict, 99, dhauli, 9, now you must pay attention to this. although you are well provided for.
first separate rock-edict, 99, dhauli, 10, it happens in the administration (of justice) that a single person suffers either imprisonment or harsh treatment.
first separate rock-edict, 99, dhauli, 11, in this case (an order) cancelling the imprisonment is (obtained) by him accidentally. while [many] other people continue to suffer.
first separate rock-edict, 99, dhauli, 12, in this case you must strive to deal (with all of them) impartially.
first separate rock-edict, 99, dhauli, 13, but one fails to act (thus) on account of the following dispositions: envy. anger. cruelty. hurry. want of practice. laziness. (and) fatigue.
first separate rock-edict, 99, dhauli, 14, (you) must strive for this. that these dispositions may not arise to you.
first separate rock-edict, 99, dhauli, 15, and the root of all this is the absence of anger and the avoidance of hurry.
first separate rock-edict, 99, dhauli, 16, he who is fatigued in the administration (of justice). will not rise. but one ought to move. to walk. and to advance.
first separate rock-edict, 99, dhauli, 17, he who will pay attention to this. must tell you: ‘see that (you) discharge the debt (which you owe to the king). such and such is the instruction of devānāṁpriya.’
first separate rock-edict, 99, dhauli, 18, the observance of this produces great fruit. (but its) non-observance (becomes) a great evil.
first separate rock-edict, 99, dhauli, 19, for if one fails to observe this. there will be neither attainment of heaven nor satisfaction of the king.
first separate rock-edict, 99, dhauli, 20, for how (could) my mind be pleased if one badly fulfils this duty?
first separate rock-edict, 99, dhauli, 21, but if (you) observe this. you will attain heaven. and you will discharge the debt (which you owe) to me.
first separate rock-edict, 99, dhauli, 22, and this edict must be listened to (by all on (every day of) the constellation tishya.
first separate rock-edict, 99, dhauli, 23, and it may be listened to even by a single (person) also on frequent (other) occasions between (the days of) tishya.
first separate rock-edict, 99, dhauli, 24, and if (you) act thus. you will be able to fulfil (this duty).
first separate rock-edict, 99, dhauli, 25, for the following purpose has this rescript been written here. (viz.) in order that the judicial officers of the city may strive at all times (for this). (that] neither undeserved fettering nor undeserved harsh treatment are happening to [men].
first separate rock-edict, 99, dhauli, 26, and for the following purpose i shall send out every five years [a mahāmātra] who will be neither harsh nor fierce. (but) of gentle actions. (viz. in order to ascertain) whether (the judicial officers). paying attention to this object. ..... are acting thus. as my instruction (implies).
first separate rock-edict, 99, dhauli, 27, but from ujjayinī also the prince (governor) will send out for the same purpose ….. a person of the same description. and he will not allow (more than) three years to pass (without such a deputation).  (bb) in the same way (an officer will be deputed) from takshaśilā also.  (cc) when ..... these mahāmātras will set out on tour. then. without neglecting their own duties. they will ascertain this as well. (viz.) whether (the]udicial officers) are carrying out this also thus. as the instruction of the king (implies).
second separate rock-edict, 99, dhauli, 1, at the word of devānāṁpriya. the prince (governor) and the mahāmātras at tosalī have to be told (thus).
second separate rock-edict, 99, dhauli, 2, whatever i recognize (to be right). that .......... and to accomplish by (various) means.
second separate rock-edict, 99, dhauli, 3, and this is considered by me the principal means for this object. viz. .......... to you.
second separate rock-edict, 99, dhauli, 4, .......... my .....
second separate rock-edict, 99, dhauli, 5, as on behalf of (my own) children i desire that they may be provided with complete welfare and happiness in this world and in the other world. thus ..........
second separate rock-edict, 99, dhauli, 6, it might occur to (my) unconquered borderers (to ask): ‘what does the king desire with reference to us?’
second separate rock-edict, 99, dhauli, 7, [this] alone is my wish with reference to the borderers. that they may learn that devānāṁpriya .......... that they may not be afraid of me. but may have confidence (in me). that they may obtain only happiness from me. not misery. that they may [learn] this. that devānāṁpriya will forgive them what can be forgiven. that they may (be induced) by me (to) practise morality. (and) that they may attain (happiness in) this world and (in) the other world.
second separate rock-edict, 99, dhauli, 8, for the following purpose i am instructing you. (viz. that) i may discharge the debt (which i owe to them) by this. that i instruct (you) and inform (you) of (my) will. i.e. my unshakable resolution and vow.
second separate rock-edict, 99, dhauli, 9, therefore. acting thus. (you) must fulfil (your) duty and must inspire confidence to them. in order that they may learn that devānāṁpriya is to them like a father. that devānāṁpriya loves them like himself. and that they are to devānāṁpriya like (his own) children.
second separate rock-edict, 99, dhauli, 10, therefore. having instructed (you). and having informed you of (my) will. i shall have (i.e. entertain) officers in (all) provinces for this object.
second separate rock-edict, 99, dhauli, 11, for you are able to inspire confidence in those (borderers) and (to secure their) welfare and happiness in this world and in the other world.
second separate rock-edict, 99, dhauli, 12, and if (you) act thus. you will attain heaven. .and will discharge the debt (which you owe) to me.
second separate rock-edict, 99, dhauli, 13, and for the following purpose has this rescript been written here. (viz.) in order that the mahāmātras may strive at all times to inspire confidence to those borderers (of mine) and (to induce them) to practise morality.
second separate rock-edict, 99, dhauli, 14, and this rescript must be listened to (by all every four months on (the day of) the constellation tishya.
second separate rock-edict, 99, dhauli, 15, but if desired. it may be listened to even by a single (person) also on frequent (other) occasions between (the days of) tishya.
second separate rock-edict, 99, dhauli, 16, if (you) act thus. you will be able to carry out (my orders).
